mouse,strain,cell,id,cell_type,drug,condition,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,spiking,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,epsp,epsp_max,epsp_latency,epsp_width,ipsp,ipsp_max,ipsp_latency,ipsp_width,psam_expression_cell,psam_expression_slice,psam_expression_animal,serotype,dillution
289,ndnf,S1C1,289_S1C1,l2_sc,baseline,1,-66.1525,15.583,15.3778,5.13885,4.46805,6.19685,5.70799,0.496217,Y,-49.9438,40.2313,0.55,385,-61.9063,0.496657967,0.5476995,NA,NA,-1.241536423,-1.447092333,4.851666667,11.57410933,N,N,Y,9,1
289,ndnf,S1C1,289_S1C1,l2_sc,upsem1,1,-69.2096,19.7728,21.0166,7.29636,7.84556,7.74933,6.8041,0.505038,Y,-49.375,38.1437,0.54,340,-61.5,0.379887067,0.519668733,NA,NA,-1.093972667,-1.318873567,10.16136667,11.65206887,N,N,Y,9,1
289,ndnf,S1C1,289_S1C1,l2_sc,upsem10,1,-68.0507,22.3452,25.3448,6.85736,6.73349,8.16168,10.0061,0.585038,Y,-49,38.6375,0.51,306.875,-61.75,0.295106767,0.472785267,NA,NA,-1.1263717,-1.404297933,7.440233333,12.44983633,N,N,Y,9,1
289,ndnf,S1C1,289_S1C1,l2_sc,washout,1,-66.1866,19.6986,20.0867,8.47064,5.68434,7.29387,9.51606,0.496337,Y,-49.1375,37.3813,0.49,298.125,-60.5938,0.409498033,0.5882182,NA,NA,-1.156424133,-1.475323167,9.706566667,11.22256567,N,N,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,1,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem1,1,-63.5457,23.0536,33.5299,13.3192,13.1619,16.9238,14.9463,0.470283,Y,-43.6063,46.7188,0.52,190,-57.7188,NA,0.238765523,NA,NA,-4.575520333,-4.732068333,2.4127,32.21871,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem10,1,-61.8248,25.5567,29.9747,12.5245,11.5728,15.3116,16.1628,0.463965,Y,-43.5812,47.1437,0.52,196.875,-57.1875,NA,0.25415596,NA,NA,-4.333144,-4.488551667,2.750366667,28.23213333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,1,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,1,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,baseline,1,-65.1225,49.6546,48.1003,8.56554,10.2539,11.0859,11.5476,0.510078,Y,-45.1375,48.3312,0.59,160,-61.5625,NA,0.332903172,NA,NA,-0.209606717,-0.526471867,NA,NA,N,N,Y,9,1
